Mes,Localidad,Nombre_localidad,Tipo_zona,Indice_ingreso,Poblacion,Vehiculos_km_millones,Lluvia_indice,Campana_seguridad,Cambio_metodologia,Accidentes_total,Accidentes_graves,Fallecidos,Tasa_accidentes_100k,Tasa_graves_100k,Tasa_fallecidos_100k,Tasa_accidentes_por_millon_vehkm
2024-01,A,Centro,Urbana,Alto,1201788,116.33,0.33,0,0,898,105,8,74.72,8.74,0.67,7.72
2024-01,B,Norte,Urbana,Medio,753427,82.58,0.19,0,0,539,50,2,71.54,6.64,0.27,6.53
2024-01,C,Sur,Mixta,Bajo,448633,42.27,0.14,0,0,388,55,4,86.48,12.26,0.89,9.18
2024-01,D,Occidente,Urbana,Medio,597458,75.07,0.19,0,0,581,95,8,97.25,15.9,1.34,7.74
2024-01,E,Oriente,Mixta,Bajo,299459,31.82,0.18,0,0,287,39,1,95.84,13.02,0.33,9.02
2024-01,F,Periferia,Periurbana,Medio,905001,65.46,0.38,0,0,513,57,5,56.69,6.3,0.55,7.84
2024-02,A,Centro,Urbana,Alto,1202658,128.81,0.24,0,0,994,138,7,82.65,11.47,0.58,7.72
2024-02,B,Norte,Urbana,Medio,749323,86.69,0.27,0,0,630,74,7,84.08,9.88,0.93,7.27
2024-02,C,Sur,Mixta,Bajo,451392,47.62,0.15,0,0,467,76,4,103.46,16.84,0.89,9.81
2024-02,D,Occidente,Urbana,Medio,599443,86.73,0.14,0,0,702,107,8,117.11,17.85,1.33,8.09
2024-02,E,Oriente,Mixta,Bajo,300325,38.45,0.25,0,0,385,64,1,128.19,21.31,0.33,10.01
2024-02,F,Periferia,Periurbana,Medio,904225,70.45,0.38,0,0,550,69,6,60.83,7.63,0.66,7.81
2024-03,A,Centro,Urbana,Alto,1197089,123.66,0.36,0,0,1033,156,14,86.29,13.03,1.17,8.35
2024-03,B,Norte,Urbana,Medio,750740,91.27,0.33,0,0,615,70,7,81.92,9.32,0.93,6.74
2024-03,C,Sur,Mixta,Bajo,450007,44.47,0.08,0,0,375,69,4,83.33,15.33,0.89,8.43
2024-03,D,Occidente,Urbana,Medio,599243,76.42,0.42,0,0,646,98,3,107.8,16.35,0.5,8.45
2024-03,E,Oriente,Mixta,Bajo,300054,40.4,0.23,0,0,377,60,3,125.64,20.0,1.0,9.33
2024-03,F,Periferia,Periurbana,Medio,900814,83.49,0.42,0,0,663,95,5,73.6,10.55,0.56,7.94
2024-04,A,Centro,Urbana,Alto,1200359,123.65,0.56,0,0,1080,145,16,89.97,12.08,1.33,8.73
2024-04,B,Norte,Urbana,Medio,750154,90.83,0.64,0,0,675,64,6,89.98,8.53,0.8,7.43
2024-04,C,Sur,Mixta,Bajo,450307,48.64,0.56,0,0,476,61,4,105.71,13.55,0.89,9.79
2024-04,D,Occidente,Urbana,Medio,600332,87.32,0.65,0,0,856,133,15,142.59,22.15,2.5,9.8
2024-04,E,Oriente,Mixta,Bajo,300264,33.69,0.97,0,0,425,82,8,141.54,27.31,2.66,12.62
2024-04,F,Periferia,Periurbana,Medio,901279,78.96,0.86,0,0,714,110,7,79.22,12.2,0.78,9.04
2024-05,A,Centro,Urbana,Alto,1199722,130.11,0.78,0,0,1226,195,13,102.19,16.25,1.08,9.42
2024-05,B,Norte,Urbana,Medio,751861,87.63,0.87,0,0,721,114,13,95.9,15.16,1.73,8.23
2024-05,C,Sur,Mixta,Bajo,448857,41.0,0.7,0,0,426,86,7,94.91,19.16,1.56,10.39
